"PAS_ID","PAS_IDCARD","PAS_FNAME","PAS_LNAME","PAS_DOB","PAS_PHONE_NUM"
"PS0001",,"Somchai","Wongsawang","01 ม.ค.  1996","080-785-6359"
"PS0002",1112345678544,"Teera","Bangna ","04 ก.พ.  1998","083-496-1028"
"PS0003",1234445678200,"Somsri","Pongchai","10 มี.ค. 2000","096-364-1235"
"PS0004",1233367846541,"Ravipa","Wachira","15 เม.ย. 1995","068-963-1305"
"PS0005",1234566674281,"Matalada","Chaisri","18 ก.ค.  2001","064-652-1693"
"PS0006",1010123456420,"Jack","Deland","23 ก.ค.  2002","090-350-6371"
"PS0007",6543219999468,"Robert","Carol","27 ส.ค.  1997","060-347-9601"
"PS0008",1398520105430,"Matalada","Chaisri","27 ส.ค.  1997","095-694-1039"
"PS0009",3648201538013,"Laure","Canet","01 ม.ค.  2001","065-301-5233"
"PS0010",3400561028294,"Louis","Givran","01 ม.ค.  1996","065-151-3024"
"PS0011",1532018607002,"Timothy","Dovin","29 มิ.ย. 1973","094-562-9347"
"PS0012",1289506333461,"Anne","Petition","29 มิ.ย. 1973","083-549-9301"
"PS0013",1392064209015,"Jack","Deland","03 มี.ค. 2004","093-410-6302"
"PS0014",3490586302973,"Claudine","Solignac","16 ก.พ.  1997","098-317-9301"
"PS0015",,"Florian","Burnet","12 พ.ค.  2001","084-782-1830"
"PS0016",1199303588486,"Bendjy","Gobbo","26 พ.ย.  2000","084-103-0074"
"PS0017",4782310135499,"Danyel","Cambon","07 ธ.ค.  1999","063-017-9985"
"PS0018",6451321845122,"Robert","Carol","18 ก.ค.  2001","061-064-9300"
"PS0019",6851039982321,"Anne","Dubois","19 ก.ค.  1980","090-613-1823"
"PS0020",1329209539455,"Joel","Delanchy","04 ก.พ.  1998","098-431-9017"
